Homo_sapiens;Pan_troglodytes;Gorilla_gorilla_gorilla,hg38;panTro4;gorGor3
Pan_troglodytes;Gorilla_gorilla_gorilla;Pongo_pygmaeus_abelii,panTro4;gorGor3;ponAbe2
Gorilla_gorilla_gorilla;Pongo_pygmaeus_abelii;Nomascus_leucogenys,gorGor3;ponAbe2;nomLeu3
Pongo_pygmaeus_abelii;Nomascus_leucogenys;Macaca_mulatta,ponAbe2;nomLeu3;rheMac3
Macaca_mulatta;Macaca_fascicularis;Papio_hamadryas,rheMac3;macFas5;papAnu2
Papio_hamadryas;Macaca_fascicularis;Chlorocebus_sabaeus,papAnu2;macFas5;chlSab2
Papio_hamadryas;Chlorocebus_sabaeus;Nomascus_leucogenys,papAnu2;chlSab2;nomLeu3
Mus_musculus;Rattus_norvegicus;Microtus_ochrogaster,mm10;rn6;micOch1
Octodon_degus;Chinchilla_lanigera;Cavia_porcellus,octDeg1;chiLan1;cavPor3
Cricetulus_griseus;Mesocricetus_auratus;Microtus_ochrogaster,criGri1;mesAur1;micOch1
Microtus_ochrogaster;Rattus_norvegicus;Jaculus_jaculus,micOch1;rn6;jacJac1
Cavia_porcellus;Heterocephalus_glaber;Jaculus_jaculus,cavPor3;hetGla2;jacJac1
Odobenus_rosmarus_divergens;Leptonychotes_weddellii;Ailuropoda_melanoleuca,odoRosDiv1;lepWed1;ailMel1
Ailuropoda_melanoleuca;Mustela_putorius_furo;Canis_lupus_familiaris,ailMel1;musFur1;canFam3
Myotis_davidii;Myotis_lucifugus;Eptesicus_fuscus,myoDav1;myoLuc2;eptFus1
Myotis_lucifugus;Eptesicus_fuscus;Pteropus_vampyrus,myoLuc2;eptFus1;pteVam1
Pteropus_alecto;Pteropus_vampyrus;Eptesicus_fuscus,pteAle1;pteVam1;eptFus1
Ovis_aries;Capra_hircus;Bos_taurus,oviAri3;capHir1;bosTau8
Tursiops_truncatus;Orcinus_orca;Pantholops_hodgsonii,turTru2;orcOrc1;panHod1
Camelus_ferus;Vicugna_pacos;Pantholops_hodgsonii,camFer1;vicPac2;panHod1
Sarcophilus_harrisii;Macropus_eugenii;Monodelphis_domestica,sarHar1;macEug2;monDom5
Zonotrichia_albicollis;Geospiza_fortis;Ficedula_albicollis,zonAlb1;geoFor1;ficAlb2
Taeniopygia_guttata;Geospiza_fortis;Ficedula_albicollis,taeGut2;geoFor1;ficAlb2
Amazona_vittata;Ara_macao;Melopsittacus_undulatus,amaVit1;araMac1;melUnd1
Falco_peregrinus;Falco_cherrug;Melopsittacus_undulatus,falPer1;falChe1;melUnd1
Gallus_gallus;Meleagris_gallopavo;Anas_platyrhynchos,galGal4;melGal1;anaPla1
Pelodiscus_sinensis;Apalone_spinifera;Chelonia_mydas,pelSin1;apaSpi1;cheMyd1
Maylandia_zebra;Pundamilia_nyererei;Haplochromis_burtoni,mayZeb1;punNye1;hapBur1
Pundamilia_nyererei;Haplochromis_burtoni;Neolamprologus_brichardi,punNye1;hapBur1;neoBri1
Haplochromis_burtoni;Neolamprologus_brichardi;Oreochromis_niloticus,hapBur1;neoBri1;oreNil2
Takifugu_flavidus;Takifugu_rubripes;Tetraodon_nigroviridis,takFla1;fr3;tetNig2
